,Company Name,Symbol,Sector
0,Adani Ports,ADANIPORTS:NSE,Infrastructure
1,Apollo Hospitals,APOLLOHOSP:NSE,Healthcare
2,Asian Paints,ASIANPAINT:NSE,Consumer Goods
3,Axis Bank,AXISBANK:NSE,Banking
4,Bajaj Auto,BAJAJ-AUTO:NSE,Automobile
5,Bajaj Finance,BAJFINANCE:NSE,Financial Services
6,Bajaj Finserv,BAJAJFINSV:NSE,Financial Services
7,Bharti Airtel,BHARTIARTL:NSE,Telecommunication
8,Bharat Petroleum,BPCL:NSE,Energy - Oil & Gas
9,Britannia Industries,BRITANNIA:NSE,Consumer Goods
10,Cipla,CIPLA:NSE,Pharmaceuticals
11,Coal India,COALINDIA:NSE,Metals
12,Divi's Laboratories,DIVISLAB:NSE,Pharmaceuticals
13,Dr. Reddy's Laboratories,DRREDDY:NSE,Pharmaceuticals
14,Eicher Motors,EICHERMOT:NSE,Automobile
15,Grasim Industries,GRASIM:NSE,Cement
16,HCL Technologies,HCLTECH:NSE,Information Technology
17,HDFC,HDFC:NSE,Financial Services
18,HDFC Bank,HDFCBANK:NSE,Banking
19,HDFC Life,HDFCLIFE:NSE,Financial Services
20,Hero MotoCorp,HEROMOTOCO:NSE,Automobile
21,Hindalco Industries,HINDALCO:NSE,Metals
22,Hindustan Unilever,HINDUNILVR:NSE,Consumer Goods
23,ICICI Bank,ICICIBANK:NSE,Banking
24,IndusInd Bank,INDUSINDBK:NSE,Banking
25,Infosys,INFY:NSE,Information Technology
26,ITC Limited,ITC:NSE,Consumer Goods
27,JSW Steel,JSWSTEEL:NSE,Metals
28,Kotak Mahindra Bank,KOTAKBANK:NSE,Banking
29,Larsen & Toubro,LT:NSE,Construction
30,Mahindra & Mahindra,M&M:NSE,Automobile
31,Maruti Suzuki,MARUTI:NSE,Automobile
32,Nestlé India,NESTLEIND:NSE,Consumer Goods
33,NTPC,NTPC:NSE,Energy - Power
34,Oil and Natural Gas Corporation,ONGC:NSE,Energy - Oil & Gas
35,Power Grid Corporation of India,POWERGRID:NSE,Energy - Power
36,Reliance Industries,RELIANCE:NSE,Energy - Oil & Gas
37,State Bank of India,SBIN:NSE,Banking
38,SBI Life Insurance Company,SBILIFE:NSE,Financial Services
39,Shree Cements,SHREECEM:NSE,Cement
40,Sun Pharmaceutical,SUNPHARMA:NSE,Pharmaceuticals
41,Tata Motors,TATAMOTORS:NSE,Automobile
42,Tata Steel,TATASTEEL:NSE,Metals
43,Tata Consultancy Services,TCS:NSE,Information Technology
44,Tata Consumer Products,TATACONSUM:NSE,Consumer Goods
45,Tech Mahindra,TECHM:NSE,Information Technology
46,Titan Company,TITAN:NSE,Consumer Durables
47,UltraTech Cement,ULTRACEMCO:NSE,Cement
48,United Phosphorus Limited,UPL:NSE,Chemicals
49,Wipro,WIPRO:NSE,Information Technology[15]
